ID,Job_Title,Estimated_Employment,Entry_Hourly,Entry_Annual,Mean_Hourly,Mean_Annual,Hourly_25th_Percentile,Annual_25th_Percentile,Median_Hourly,Median_Annual,Hourly_75th_Percentile,Annual_75th_Percentile,Experienced_Hourly,Experienced_Annual,Year,Zone
1,Computer Systems Analysts,"1,990",19,"39,708",36,"75,488",26,"53,611",34,"71,653",45,"94,055",58,"121,638",2018,Kentuckiana Works
2,Information Security Analysts,320,22,"44,812",42,"86,613",29,"60,113",39,"81,742",54,"112,092",63,"131,515",2018,Kentuckiana Works
3,Computer Programmers,440,25,"52,792",37,"77,347",31,"65,488",38,"78,125",44,"92,113",49,"102,118",2018,Kentuckiana Works
4,"Software Developers, Applications","2,840",22,"45,326",39,"81,765",31,"63,798",38,"79,950",49,"101,384",59,"122,958",2018,Kentuckiana Works
5,"Software Developers, Systems Software",780,30,"62,325",44,"91,316",35,"73,517",43,"89,703",51,"106,548",62,"128,182",2018,Kentuckiana Works
6,Web Developers,620,15,"30,489",33,"69,127",20,"41,067",31,"63,997",45,"93,738",56,"116,381",2018,Kentuckiana Works
7,Database Administrators,460,21,"44,471",40,"82,829",29,"60,210",41,"84,368",50,"104,000",60,"124,097",2018,Kentuckiana Works
8,Network and Computer Systems Administrators,"1,060",21,"43,120",36,"74,623",26,"54,102",34,"71,314",46,"95,061",55,"113,628",2018,Kentuckiana Works
9,Computer Network Architects,540,25,"52,552",41,"85,793",31,"64,225",40,"83,181",50,"103,433",61,"126,577",2018,Kentuckiana Works
10,Computer User Support Specialists,"2,170",13,"26,874",22,"46,497",16,"32,557",20,"42,551",28,"57,723",36,"74,684",2018,Kentuckiana Works
11,Computer Network Support Specialists,640,17,"35,077",28,"57,495",20,"42,110",26,"53,595",33,"67,844",41,"85,236",2018,Kentuckiana Works
12,"Computer Occupations, All Other","1,200",23,"47,418",43,"89,583",31,"64,790",39,"81,813",57,"118,303",69,"144,155",2018,Kentuckiana Works
13,Operations Research Analysts,640,26,"54,775",37,"77,729",31,"64,509",36,"75,659",41,"85,408",53,"110,073",2018,Kentuckiana Works
14,Statisticians,60,23,"47,818",38,"79,290",32,"65,690",38,"78,732",46,"95,273",51,"105,359",2018,Kentuckiana Works
1,Computer Systems Analysts,"1,300",21,"43,765",36,"74,047",26,"53,779",33,"69,179",44,"91,436",57,"117,796",2018,Bluegrass
2,Information Security Analysts,70,24,"50,926",42,"86,564",32,"66,105",42,"87,639",48,"100,558",59,"123,328",2018,Bluegrass
3,Computer Programmers,290,14,"29,497",32,"66,807",19,"39,829",28,"58,704",41,"85,395",53,"111,160",2018,Bluegrass
4,"Software Developers, Applications","1,120",25,"52,603",39,"80,065",29,"61,133",37,"76,484",46,"96,202",56,"116,122",2018,Bluegrass
5,"Software Developers, Systems Software",520,27,"55,714",43,"88,427",33,"68,352",39,"80,560",51,"106,340",66,"137,383",2018,Bluegrass
6,Web Developers,290,15,"31,223",31,"65,265",22,"45,606",30,"63,232",43,"89,482",48,"99,483",2018,Bluegrass
